sex,age,year,pop,deaths
male,0,1981,2287,16
male,1,1981,2289,2
male,2,1981,2170,0
male,3,1981,2013,2
male,4,1981,2058,1
male,5,1981,2109,0
male,6,1981,2076,0
male,7,1981,2178,1
male,8,1981,2284,0
male,9,1981,2198,0
male,10,1981,2051,1
male,11,1981,2015,0
male,12,1981,2069,1
male,13,1981,2120,1
male,14,1981,2206,2
male,15,1981,2298,1
male,16,1981,2295,3
male,17,1981,2324,4
male,18,1981,2326,2
male,19,1981,2247,2
male,20,1981,2279,4
male,21,1981,2328,2
male,22,1981,2228,5
male,23,1981,2180,6
male,24,1981,2171,2
male,25,1981,2068,2
male,26,1981,2005,2
male,27,1981,2007,6
male,28,1981,1965,1
male,29,1981,1832,3
male,30,1981,1843,2
male,31,1981,1845,3
male,32,1981,1738,2
male,33,1981,1690,1
male,34,1981,1645,1
male,35,1981,1584,1
male,36,1981,1518,0
male,37,1981,1420,4
male,38,1981,1337,2
male,39,1981,1243,2
male,40,1981,1103,0
male,41,1981,1053,2
male,42,1981,1066,2
male,43,1981,1085,4
male,44,1981,1073,6
male,45,1981,1040,3
male,46,1981,1049,5
male,47,1981,1070,3
male,48,1981,1101,3
male,49,1981,1159,4
male,50,1981,1188,4
male,51,1981,1153,5
male,52,1981,1112,12
male,53,1981,1088,8
male,54,1981,1052,9
male,55,1981,1033,8
male,56,1981,1007,7
male,57,1981,990,14
male,58,1981,954,11
male,59,1981,955,7
male,60,1981,960,18
male,61,1981,864,16
male,62,1981,813,28
male,63,1981,800,15
male,64,1981,773,12
male,65,1981,737,14
male,66,1981,706,21
male,67,1981,685,23
male,68,1981,663,22
male,69,1981,635,17
male,70,1981,601,21
male,71,1981,595,23
male,72,1981,549,26
male,73,1981,493,27
male,74,1981,490,22
male,75,1981,464,22
male,76,1981,437,22
male,77,1981,436,33
male,78,1981,375,20
male,79,1981,326,18
male,80,1981,290,24
male,81,1981,258,18
male,82,1981,233,25
male,83,1981,222,28
male,84,1981,208,22
male,85,1981,174,31
male,86,1981,142,22
male,87,1981,131,19
male,88,1981,99,28
male,89,1981,83,22
male,90,1981,61,8
male,91,1981,43,10
male,92,1981,36,13
male,93,1981,23,8
male,94,1981,14,4
male,95,1981,10,3
male,96,1981,5,2
male,97,1981,5,1
male,98,1981,3,0
male,99,1981,2,1
male,100,1981,2,1
male,101,1981,0,0
male,102,1981,0,0
male,103,1981,0,0
male,104,1981,0,0
male,105,1981,0,0
male,106,1981,0,0
male,107,1981,0,0
male,108,1981,0,0
male,109,1981,0,0
female,0,1981,2141,10
female,1,1981,2191,1
female,2,1981,2081,1
female,3,1981,1942,0
female,4,1981,1945,0
female,5,1981,2019,0
female,6,1981,2010,0
female,7,1981,2034,1
female,8,1981,2154,1
female,9,1981,2081,1
female,10,1981,1914,1
female,11,1981,1941,0
female,12,1981,1965,0
female,13,1981,1994,0
female,14,1981,2142,0
female,15,1981,2196,1
female,16,1981,2239,2
female,17,1981,2272,0
female,18,1981,2226,0
female,19,1981,2145,2
female,20,1981,2136,0
female,21,1981,2143,0
female,22,1981,2092,0
female,23,1981,2065,1
female,24,1981,2034,1
female,25,1981,2023,0
female,26,1981,1918,0
female,27,1981,1845,1
female,28,1981,1768,0
female,29,1981,1753,0
female,30,1981,1747,1
female,31,1981,1653,1
female,32,1981,1651,1
female,33,1981,1608,1
female,34,1981,1483,0
female,35,1981,1441,1
female,36,1981,1404,0
female,37,1981,1359,2
female,38,1981,1331,1
female,39,1981,1221,2
female,40,1981,1123,1
female,41,1981,1063,1
female,42,1981,1016,3
female,43,1981,1015,2
female,44,1981,1062,0
female,45,1981,1094,0
female,46,1981,1089,0
female,47,1981,1065,2
female,48,1981,1072,4
female,49,1981,1106,3
female,50,1981,1176,4
female,51,1981,1166,1
female,52,1981,1073,2
female,53,1981,1046,4
female,54,1981,1058,2
female,55,1981,1018,2
female,56,1981,965,3
female,57,1981,991,4
female,58,1981,1011,6
female,59,1981,983,6
female,60,1981,950,8
female,61,1981,877,8
female,62,1981,849,8
female,63,1981,858,5
female,64,1981,823,11
female,65,1981,783,12
female,66,1981,777,12
female,67,1981,764,13
female,68,1981,753,13
female,69,1981,748,9
female,70,1981,677,10
female,71,1981,628,17
female,72,1981,638,15
female,73,1981,615,21
female,74,1981,579,18
female,75,1981,552,27
female,76,1981,536,26
female,77,1981,511,15
female,78,1981,458,21
female,79,1981,427,27
female,80,1981,418,25
female,81,1981,402,33
female,82,1981,351,31
female,83,1981,320,35
female,84,1981,289,28
female,85,1981,269,28
female,86,1981,222,22
female,87,1981,184,19
female,88,1981,161,28
female,89,1981,156,21
female,90,1981,122,20
female,91,1981,78,16
female,92,1981,65,13
female,93,1981,43,11
female,94,1981,30,5
female,95,1981,26,6
female,96,1981,20,10
female,97,1981,12,1
female,98,1981,5,2
female,99,1981,4,0
female,100,1981,3,0
female,101,1981,3,0
female,102,1981,2,0
female,103,1981,0,0
female,104,1981,0,0
female,105,1981,0,0
female,106,1981,0,0
female,107,1981,0,0
female,108,1981,0,1
female,109,1981,0,0
male,0,1982,2272,17
male,1,1982,2282,1
male,2,1982,2294,0
male,3,1982,2168,0
male,4,1982,2022,1
male,5,1982,2059,2
male,6,1982,2116,0
male,7,1982,2086,0
male,8,1982,2189,0
male,9,1982,2291,0
male,10,1982,2199,0
male,11,1982,2061,1
male,12,1982,2019,1
male,13,1982,2076,0
male,14,1982,2125,0
male,15,1982,2210,0
male,16,1982,2298,2
male,17,1982,2301,0
male,18,1982,2326,3
male,19,1982,2320,3
male,20,1982,2252,1
male,21,1982,2282,1
male,22,1982,2320,4
male,23,1982,2216,2
male,24,1982,2163,5
male,25,1982,2167,3
male,26,1982,2060,2
male,27,1982,2009,3
male,28,1982,2019,2
male,29,1982,1969,2
male,30,1982,1841,0
male,31,1982,1861,2
male,32,1982,1852,4
male,33,1982,1743,4
male,34,1982,1699,1
male,35,1982,1651,2
male,36,1982,1583,3
male,37,1982,1519,3
male,38,1982,1413,1
male,39,1982,1341,2
male,40,1982,1240,0
male,41,1982,1098,3
male,42,1982,1055,2
male,43,1982,1066,1
male,44,1982,1078,2
male,45,1982,1073,2
male,46,1982,1035,5
male,47,1982,1045,6
male,48,1982,1069,4
male,49,1982,1098,8
male,50,1982,1156,7
male,51,1982,1182,7
male,52,1982,1147,8
male,53,1982,1104,6
male,54,1982,1080,7
male,55,1982,1043,10
male,56,1982,1023,8
male,57,1982,1001,11
male,58,1982,977,14
male,59,1982,944,8
male,60,1982,943,12
male,61,1982,948,13
male,62,1982,849,12
male,63,1982,796,6
male,64,1982,791,14
male,65,1982,758,17
male,66,1982,717,22
male,67,1982,688,19
male,68,1982,662,17
male,69,1982,648,23
male,70,1982,610,19
male,71,1982,584,19
male,72,1982,568,28
male,73,1982,524,22
male,74,1982,469,28
male,75,1982,467,23
male,76,1982,440,25
male,77,1982,411,19
male,78,1982,410,25
male,79,1982,356,19
male,80,1982,305,22
male,81,1982,267,33
male,82,1982,231,16
male,83,1982,214,13
male,84,1982,200,19
male,85,1982,186,23
male,86,1982,148,21
male,87,1982,123,17
male,88,1982,109,16
male,89,1982,81,17
male,90,1982,68,17
male,91,1982,47,14
male,92,1982,31,7
male,93,1982,27,7
male,94,1982,18,7
male,95,1982,10,6
male,96,1982,4,6
male,97,1982,3,2
male,98,1982,4,2
male,99,1982,2,1
male,100,1982,1,1
male,101,1982,1,1
male,102,1982,0,0
male,103,1982,0,0
male,104,1982,0,0
male,105,1982,0,0
male,106,1982,0,0
male,107,1982,0,0
male,108,1982,0,0
male,109,1982,0,0
female,0,1982,2091,13
female,1,1982,2147,2
female,2,1982,2193,0
female,3,1982,2077,1
female,4,1982,1948,0
female,5,1982,1948,0
female,6,1982,2035,1
female,7,1982,2014,0
female,8,1982,2041,1
female,9,1982,2166,0
female,10,1982,2087,1
female,11,1982,1922,1
female,12,1982,1940,0
female,13,1982,1974,0
female,14,1982,2000,0
female,15,1982,2141,1
female,16,1982,2197,0
female,17,1982,2248,2
female,18,1982,2280,2
female,19,1982,2233,1
female,20,1982,2163,0
female,21,1982,2134,0
female,22,1982,2138,0
female,23,1982,2104,1
female,24,1982,2060,1
female,25,1982,2034,2
female,26,1982,2002,0
female,27,1982,1922,0
female,28,1982,1855,0
female,29,1982,1780,1
female,30,1982,1770,1
female,31,1982,1758,1
female,32,1982,1656,1
female,33,1982,1652,3
female,34,1982,1615,0
female,35,1982,1487,1
female,36,1982,1443,2
female,37,1982,1408,3
female,38,1982,1362,0
female,39,1982,1334,2
female,40,1982,1217,1
female,41,1982,1124,4
female,42,1982,1063,1
female,43,1982,1015,3
female,44,1982,1013,3
female,45,1982,1063,0
female,46,1982,1095,2
female,47,1982,1087,2
female,48,1982,1063,4
female,49,1982,1069,2
female,50,1982,1105,0
female,51,1982,1177,5
female,52,1982,1165,4
female,53,1982,1071,2
female,54,1982,1041,6
female,55,1982,1055,4
female,56,1982,1015,6
female,57,1982,959,7
female,58,1982,989,6
female,59,1982,1002,10
female,60,1982,977,5
female,61,1982,943,12
female,62,1982,867,11
female,63,1982,841,11
female,64,1982,851,7
female,65,1982,811,5
female,66,1982,774,10
female,67,1982,765,8
female,68,1982,756,14
female,69,1982,742,10
female,70,1982,735,13
female,71,1982,665,20
female,72,1982,609,12
female,73,1982,626,10
female,74,1982,597,23
female,75,1982,559,13
female,76,1982,533,20
female,77,1982,514,25
female,78,1982,487,19
female,79,1982,440,26
female,80,1982,398,18
female,81,1982,397,17
female,82,1982,377,20
female,83,1982,323,29
female,84,1982,288,30
female,85,1982,266,23
female,86,1982,241,34
female,87,1982,194,27
female,88,1982,162,18
female,89,1982,139,17
female,90,1982,137,22
female,91,1982,101,17
female,92,1982,66,14
female,93,1982,51,13
female,94,1982,32,12
female,95,1982,23,9
female,96,1982,17,5
female,97,1982,16,1
female,98,1982,11,2
female,99,1982,3,2
female,100,1982,3,3
female,101,1982,2,0
female,102,1982,3,1
female,103,1982,1,0
female,104,1982,0,0
female,105,1982,0,0
female,106,1982,0,0
female,107,1982,0,0
female,108,1982,0,0
female,109,1982,0,0
male,0,1983,2237,12
male,1,1983,2261,1
male,2,1983,2291,0
male,3,1983,2289,1
male,4,1983,2168,1
male,5,1983,2017,4
male,6,1983,2065,1
male,7,1983,2125,0
male,8,1983,2098,0
male,9,1983,2199,1
male,10,1983,2292,1
male,11,1983,2207,0
male,12,1983,2060,1
male,13,1983,2019,0
male,14,1983,2075,1
male,15,1983,2133,1
male,16,1983,2212,1
male,17,1983,2298,4
male,18,1983,2303,5
male,19,1983,2318,2
male,20,1983,2324,3
male,21,1983,2244,2
male,22,1983,2263,3
male,23,1983,2304,3
male,24,1983,2205,1
male,25,1983,2153,3
male,26,1983,2161,1
male,27,1983,2068,4
male,28,1983,2021,3
male,29,1983,2022,4
male,30,1983,1964,1
male,31,1983,1852,2
male,32,1983,1864,1
male,33,1983,1859,1
male,34,1983,1750,3
male,35,1983,1706,3
male,36,1983,1652,3
male,37,1983,1588,1
male,38,1983,1519,2
male,39,1983,1413,4
male,40,1983,1338,3
male,41,1983,1234,6
male,42,1983,1097,5
male,43,1983,1054,5
male,44,1983,1063,3
male,45,1983,1079,3
male,46,1983,1067,3
male,47,1983,1033,3
male,48,1983,1042,6
male,49,1983,1065,3
male,50,1983,1090,5
male,51,1983,1146,9
male,52,1983,1176,11
male,53,1983,1137,5
male,54,1983,1094,16
male,55,1983,1071,9
male,56,1983,1033,13
male,57,1983,1015,12
male,58,1983,988,12
male,59,1983,965,16
male,60,1983,929,16
male,61,1983,933,14
male,62,1983,931,18
male,63,1983,838,9
male,64,1983,788,13
male,65,1983,773,28
male,66,1983,737,15
male,67,1983,698,20
male,68,1983,665,25
male,69,1983,644,19
male,70,1983,624,25
male,71,1983,588,21
male,72,1983,564,25
male,73,1983,541,19
male,74,1983,503,19
male,75,1983,449,23
male,76,1983,440,32
male,77,1983,411,24
male,78,1983,385,33
male,79,1983,386,26
male,80,1983,331,24
male,81,1983,278,26
male,82,1983,243,26
male,83,1983,213,24
male,84,1983,194,23
male,85,1983,178,24
male,86,1983,156,33
male,87,1983,126,27
male,88,1983,103,24
male,89,1983,90,15
male,90,1983,65,16
male,91,1983,53,9
male,92,1983,35,7
male,93,1983,25,5
male,94,1983,22,8
male,95,1983,13,0
male,96,1983,4,4
male,97,1983,2,0
male,98,1983,3,0
male,99,1983,3,0
male,100,1983,1,0
male,101,1983,0,0
male,102,1983,1,0
male,103,1983,0,0
male,104,1983,0,0
male,105,1983,0,0
male,106,1983,0,0
male,107,1983,0,0
male,108,1983,0,0
male,109,1983,0,0
female,0,1983,2130,13
female,1,1983,2096,2
female,2,1983,2155,0
female,3,1983,2197,0
female,4,1983,2090,1
female,5,1983,1950,2
female,6,1983,1956,1
female,7,1983,2039,1
female,8,1983,2018,0
female,9,1983,2053,0
female,10,1983,2164,0
female,11,1983,2094,0
female,12,1983,1923,0
female,13,1983,1950,0
female,14,1983,1978,0
female,15,1983,2006,0
female,16,1983,2145,0
female,17,1983,2205,0
female,18,1983,2249,1
female,19,1983,2290,2
female,20,1983,2240,2
female,21,1983,2155,0
female,22,1983,2126,1
female,23,1983,2149,1
female,24,1983,2097,1
female,25,1983,2055,0
female,26,1983,2025,2
female,27,1983,1998,0
female,28,1983,1936,0
female,29,1983,1858,1
female,30,1983,1786,2
female,31,1983,1771,0
female,32,1983,1763,0
female,33,1983,1663,0
female,34,1983,1661,1
female,35,1983,1617,1
female,36,1983,1492,1
female,37,1983,1448,1
female,38,1983,1412,0
female,39,1983,1364,1
female,40,1983,1329,2
female,41,1983,1217,0
female,42,1983,1122,3
female,43,1983,1061,1
female,44,1983,1013,2
female,45,1983,1013,2
female,46,1983,1061,3
female,47,1983,1090,4
female,48,1983,1085,3
female,49,1983,1063,3
female,50,1983,1069,2
female,51,1983,1105,2
female,52,1983,1172,4
female,53,1983,1161,2
female,54,1983,1066,1
female,55,1983,1040,5
female,56,1983,1049,2
female,57,1983,1010,5
female,58,1983,954,9
female,59,1983,982,5
female,60,1983,995,6
female,61,1983,970,5
female,62,1983,932,8
female,63,1983,859,5
female,64,1983,833,6
female,65,1983,843,8
female,66,1983,802,8
female,67,1983,762,11
female,68,1983,757,19
female,69,1983,743,8
female,70,1983,727,15
female,71,1983,718,17
female,72,1983,649,11
female,73,1983,599,13
female,74,1983,609,27
female,75,1983,575,16
female,76,1983,544,21
female,77,1983,514,19
female,78,1983,489,18
female,79,1983,468,19
female,80,1983,418,17
female,81,1983,381,23
female,82,1983,374,28
female,83,1983,344,39
female,84,1983,293,20
female,85,1983,267,27
female,86,1983,237,28
female,87,1983,211,26
female,88,1983,169,27
female,89,1983,141,15
female,90,1983,125,24
female,91,1983,113,16
female,92,1983,84,16
female,93,1983,55,12
female,94,1983,38,6
female,95,1983,25,3
female,96,1983,18,3
female,97,1983,14,4
female,98,1983,13,2
female,99,1983,9,3
female,100,1983,2,0
female,101,1983,1,2
female,102,1983,1,1
female,103,1983,1,1
female,104,1983,1,0
female,105,1983,0,0
female,106,1983,0,0
female,107,1983,0,0
female,108,1983,0,0
female,109,1983,0,0
male,0,1984,2162,13
male,1,1984,2216,0
male,2,1984,2263,1
male,3,1984,2281,0
male,4,1984,2287,1
male,5,1984,2163,0
male,6,1984,2019,1
male,7,1984,2060,0
male,8,1984,2127,0
male,9,1984,2106,1
male,10,1984,2194,0
male,11,1984,2293,0
male,12,1984,2205,1
male,13,1984,2059,0
male,14,1984,2016,1
male,15,1984,2078,0
male,16,1984,2132,3
male,17,1984,2210,5
male,18,1984,2298,1
male,19,1984,2300,4
male,20,1984,2308,4
male,21,1984,2307,5
male,22,1984,2210,2
male,23,1984,2238,2
male,24,1984,2285,1
male,25,1984,2181,2
male,26,1984,2139,7
male,27,1984,2159,2
male,28,1984,2071,2
male,29,1984,2021,1
male,30,1984,2019,4
male,31,1984,1962,5
male,32,1984,1852,2
male,33,1984,1858,4
male,34,1984,1861,3
male,35,1984,1751,4
male,36,1984,1703,1
male,37,1984,1661,0
male,38,1984,1590,3
male,39,1984,1516,3
male,40,1984,1410,1
male,41,1984,1334,0
male,42,1984,1232,1
male,43,1984,1092,4
male,44,1984,1051,4
male,45,1984,1058,4
male,46,1984,1072,3
male,47,1984,1065,4
male,48,1984,1024,7
male,49,1984,1037,1
male,50,1984,1060,2
male,51,1984,1080,4
male,52,1984,1139,7
male,53,1984,1165,8
male,54,1984,1127,12
male,55,1984,1085,6
male,56,1984,1060,8
male,57,1984,1024,13
male,58,1984,1003,11
male,59,1984,976,11
male,60,1984,954,9
male,61,1984,919,15
male,62,1984,917,10
male,63,1984,915,15
male,64,1984,826,17
male,65,1984,769,14
male,66,1984,754,27
male,67,1984,713,18
male,68,1984,676,20
male,69,1984,644,15
male,70,1984,624,26
male,71,1984,597,28
male,72,1984,566,24
male,73,1984,543,17
male,74,1984,520,27
male,75,1984,480,27
male,76,1984,423,18
male,77,1984,413,20
male,78,1984,384,25
male,79,1984,359,25
male,80,1984,363,20
male,81,1984,307,20
male,82,1984,257,24
male,83,1984,219,20
male,84,1984,193,16
male,85,1984,171,19
male,86,1984,151,25
male,87,1984,133,22
male,88,1984,101,21
male,89,1984,86,15
male,90,1984,74,14
male,91,1984,53,8
male,92,1984,42,9
male,93,1984,30,4
male,94,1984,19,8
male,95,1984,17,4
male,96,1984,8,5
male,97,1984,3,0
male,98,1984,2,0
male,99,1984,3,0
male,100,1984,3,1
male,101,1984,1,0
male,102,1984,0,0
male,103,1984,0,0
male,104,1984,0,1
male,105,1984,0,0
male,106,1984,0,0
male,107,1984,0,0
male,108,1984,0,0
male,109,1984,0,0
female,0,1984,2087,11
female,1,1984,2128,1
female,2,1984,2097,0
female,3,1984,2150,0
female,4,1984,2205,0
female,5,1984,2088,1
female,6,1984,1951,1
female,7,1984,1960,0
female,8,1984,2038,0
female,9,1984,2023,1
female,10,1984,2046,0
female,11,1984,2165,0
female,12,1984,2096,0
female,13,1984,1928,0
female,14,1984,1953,0
female,15,1984,1982,1
female,16,1984,2004,0
female,17,1984,2150,0
female,18,1984,2202,2
female,19,1984,2258,1
female,20,1984,2273,1
female,21,1984,2227,0
female,22,1984,2134,0
female,23,1984,2117,1
female,24,1984,2138,0
female,25,1984,2098,0
female,26,1984,2046,0
female,27,1984,2018,0
female,28,1984,2006,1
female,29,1984,1923,3
female,30,1984,1850,0
female,31,1984,1780,1
female,32,1984,1774,4
female,33,1984,1762,2
female,34,1984,1669,1
female,35,1984,1663,2
female,36,1984,1621,2
female,37,1984,1489,1
female,38,1984,1445,1
female,39,1984,1408,2
female,40,1984,1360,2
female,41,1984,1328,1
female,42,1984,1214,1
female,43,1984,1120,1
female,44,1984,1059,1
female,45,1984,1010,2
female,46,1984,1014,0
female,47,1984,1055,2
female,48,1984,1090,2
female,49,1984,1083,3
female,50,1984,1062,2
female,51,1984,1065,2
female,52,1984,1101,4
female,53,1984,1166,3
female,54,1984,1159,5
female,55,1984,1062,4
female,56,1984,1036,3
female,57,1984,1046,7
female,58,1984,1003,4
female,59,1984,948,4
female,60,1984,979,7
female,61,1984,986,9
female,62,1984,963,5
female,63,1984,924,9
female,64,1984,853,8
female,65,1984,823,17
female,66,1984,829,12
female,67,1984,789,12
female,68,1984,755,9
female,69,1984,742,14
female,70,1984,732,13
female,71,1984,709,16
female,72,1984,700,19
female,73,1984,636,16
female,74,1984,584,17
female,75,1984,586,25
female,76,1984,555,25
female,77,1984,525,19
female,78,1984,491,22
female,79,1984,465,29
female,80,1984,447,21
female,81,1984,399,20
female,82,1984,357,27
female,83,1984,344,17
female,84,1984,315,33
female,85,1984,270,25
female,86,1984,240,23
female,87,1984,216,12
female,88,1984,186,27
female,89,1984,148,14
female,90,1984,126,15
female,91,1984,103,20
female,92,1984,96,22
female,93,1984,69,21
female,94,1984,41,8
female,95,1984,32,10
female,96,1984,19,7
female,97,1984,12,9
female,98,1984,9,1
female,99,1984,11,3
female,100,1984,7,0
female,101,1984,1,1
female,102,1984,1,0
female,103,1984,1,0
female,104,1984,1,0
female,105,1984,1,0
female,106,1984,0,0
female,107,1984,0,0
female,108,1984,0,0
female,109,1984,0,0
male,0,1985,2006,11
male,1,1985,2133,1
male,2,1985,2207,2
male,3,1985,2252,1
male,4,1985,2275,2
male,5,1985,2281,0
male,6,1985,2160,0
male,7,1985,2012,0
male,8,1985,2056,1
male,9,1985,2128,1
male,10,1985,2095,0
male,11,1985,2198,0
male,12,1985,2293,1
male,13,1985,2201,0
male,14,1985,2056,2
male,15,1985,2014,2
male,16,1985,2076,1
male,17,1985,2130,4
male,18,1985,2211,1
male,19,1985,2298,2
male,20,1985,2286,1
male,21,1985,2285,6
male,22,1985,2276,3
male,23,1985,2195,2
male,24,1985,2207,3
male,25,1985,2251,5
male,26,1985,2155,2
male,27,1985,2136,1
male,28,1985,2156,3
male,29,1985,2060,5
male,30,1985,2017,4
male,31,1985,2015,1
male,32,1985,1957,2
male,33,1985,1844,3
male,34,1985,1849,3
male,35,1985,1857,1
